y,x,street_count,highway,railway,ref,junction,geometry
48.2068359,16.3558556,4,,,,,POINT (16.3558556 48.2068359)
48.2076973,16.3553748,3,,,,,POINT (16.3553748 48.2076973)
48.214382,16.3583202,3,,,,,POINT (16.3583202 48.214382)
48.2135166,16.3571308,4,,,,,POINT (16.3571308 48.2135166)
48.2133903,16.358084,4,,,,,POINT (16.358084 48.2133903)
48.2124349,16.3588007,4,,,,,POINT (16.3588007 48.2124349)
48.2125633,16.3578329,4,traffic_signals,,,,POINT (16.3578329 48.2125633)
48.212794,16.3560356,3,,,,,POINT (16.3560356 48.212794)
48.2118784,16.3558256,4,traffic_signals,,,,POINT (16.3558256 48.2118784)
48.2117779,16.3566008,3,traffic_signals,,,,POINT (16.3566008 48.2117779)
48.2116546,16.3575637,3,traffic_signals,,,,POINT (16.3575637 48.2116546)
48.2136341,16.3562095,3,,,,,POINT (16.3562095 48.2136341)
48.20937,16.3521931,4,traffic_signals,,,,POINT (16.3521931 48.20937)
48.1991424,16.2715251,3,,,,,POINT (16.2715251 48.1991424)
48.1975878,16.2806999,4,traffic_signals,,,,POINT (16.2806999 48.1975878)
48.1971559,16.2842708,4,,,,,POINT (16.2842708 48.1971559)
48.1968657,16.2870915,4,traffic_signals,,,,POINT (16.2870915 48.1968657)
48.1969552,16.2905744,4,,,,,POINT (16.2905744 48.1969552)
48.1971291,16.2933652,4,,,,,POINT (16.2933652 48.1971291)
48.1972569,16.2949209,4,traffic_signals,,,,POINT (16.2949209 48.1972569)
48.1981355,16.3023982,4,,,,,POINT (16.3023982 48.1981355)
48.1990315,16.3133654,3,,,,,POINT (16.3133654 48.1990315)
48.1986426,16.3247453,3,traffic_signals,,,,POINT (16.3247453 48.1986426)
48.2015417,16.3370453,4,,,,,POINT (16.3370453 48.2015417)
48.1860446,16.320393,4,,,,,POINT (16.320393 48.1860446)
48.1848954,16.3198001,4,,,,,POINT (16.3198001 48.1848954)
48.1880344,16.3134706,4,,,,,POINT (16.3134706 48.1880344)
48.1913534,16.2872577,4,,,,,POINT (16.2872577 48.1913534)
48.1908269,16.2870956,4,,,,,POINT (16.2870956 48.1908269)
48.191706,16.2808976,4,crossing,,,,POINT (16.2808976 48.191706)
48.1922127,16.2810072,4,,,,,POINT (16.2810072 48.1922127)
48.18942,16.2862542,4,,,,,POINT (16.2862542 48.18942)
48.1873541,16.2947024,4,,,,,POINT (16.2947024 48.1873541)
48.1894793,16.2948757,3,,,,,POINT (16.2948757 48.1894793)
48.1880784,16.2993785,3,,,,,POINT (16.2993785 48.1880784)
48.1869302,16.2947279,4,,,,,POINT (16.2947279 48.1869302)
48.187275,16.284773,4,traffic_signals,,,,POINT (16.284773 48.187275)
48.187458,16.2798127,4,,,,,POINT (16.2798127 48.187458)
48.1899982,16.2800347,4,,,,,POINT (16.2800347 48.1899982)
48.1927395,16.2811241,3,,,,,POINT (16.2811241 48.1927395)
48.1940243,16.2812963,4,,,,,POINT (16.2812963 48.1940243)
48.1939435,16.2830604,3,,,,,POINT (16.2830604 48.1939435)
48.1951063,16.2834327,4,,,,,POINT (16.2834327 48.1951063)
48.1950158,16.2840702,3,,,,,POINT (16.2840702 48.1950158)
48.1955317,16.2815729,3,,,,,POINT (16.2815729 48.1955317)
48.1956045,16.2807355,3,,,,,POINT (16.2807355 48.1956045)
48.1945087,16.2862239,4,,,,,POINT (16.2862239 48.1945087)
48.1946936,16.2900725,4,,,,,POINT (16.2900725 48.1946936)
48.1942974,16.2938904,3,,,,,POINT (16.2938904 48.1942974)
48.1937672,16.2859995,3,,,,,POINT (16.2859995 48.1937672)
48.2039764,16.2788752,3,traffic_signals,,,,POINT (16.2788752 48.2039764)
48.2018467,16.3405052,4,,,,,POINT (16.3405052 48.2018467)
48.2021452,16.3490726,3,traffic_signals,,,,POINT (16.3490726 48.2021452)
48.2023981,16.354632,3,,,,,POINT (16.354632 48.2023981)
48.2007902,16.3373113,4,,tram_level_crossing,,,POINT (16.3373113 48.2007902)
48.1983967,16.3390104,4,,,,,POINT (16.3390104 48.1983967)
48.2001259,16.350701,4,,,,,POINT (16.350701 48.2001259)
48.2022078,16.35025,3,,,,,POINT (16.35025 48.2022078)
48.1982148,16.3382648,5,,,,,POINT (16.3382648 48.1982148)
48.1957221,16.3390429,4,,,,,POINT (16.3390429 48.1957221)
48.1982805,16.3282293,4,traffic_signals,,,,POINT (16.3282293 48.1982805)
48.2042155,16.3375265,4,,,,,POINT (16.3375265 48.2042155)
48.2041797,16.3367537,4,,,,,POINT (16.3367537 48.2041797)
48.2061872,16.3365797,4,,,,,POINT (16.3365797 48.2061872)
48.2061526,16.3373996,4,,,,,POINT (16.3373996 48.2061526)
48.2093899,16.3385974,3,,,,,POINT (16.3385974 48.2093899)
48.2115728,16.338667,3,,,,,POINT (16.338667 48.2115728)
48.2084421,16.3048253,5,traffic_signals,,,,POINT (16.3048253 48.2084421)
48.2046106,16.3034883,4,,,,,POINT (16.3034883 48.2046106)
48.202375,16.3027983,4,,,,,POINT (16.3027983 48.202375)
48.2003351,16.3025955,3,,,,,POINT (16.3025955 48.2003351)
48.2114273,16.2887432,3,,,,,POINT (16.2887432 48.2114273)
48.2116797,16.2882066,3,,,,,POINT (16.2882066 48.2116797)
48.2120102,16.2887077,3,,,,,POINT (16.2887077 48.2120102)
48.2127608,16.2897481,3,,,,,POINT (16.2897481 48.2127608)
48.1988336,16.2843845,3,,,,,POINT (16.2843845 48.1988336)
48.2011496,16.2865352,3,,,,,POINT (16.2865352 48.2011496)
48.2011292,16.2876861,3,,,,,POINT (16.2876861 48.2011292)
48.202414,16.2876966,3,,,,,POINT (16.2876966 48.202414)
48.2024154,16.2865284,3,,,,,POINT (16.2865284 48.2024154)
48.202419,16.2888823,3,,,,,POINT (16.2888823 48.202419)
48.2029809,16.2888861,3,,,,,POINT (16.2888861 48.2029809)
48.2032878,16.2904919,3,,,,,POINT (16.2904919 48.2032878)
48.2012234,16.2922283,3,,,,,POINT (16.2922283 48.2012234)
48.2006019,16.2924295,3,,,,,POINT (16.2924295 48.2006019)
48.1986027,16.2946775,3,,,,,POINT (16.2946775 48.1986027)
48.1986077,16.2930993,3,,,,,POINT (16.2930993 48.1986077)
48.1985961,16.290208,3,,,,,POINT (16.290208 48.1985961)
48.199548,16.2900333,3,,,,,POINT (16.2900333 48.199548)
48.1986811,16.2872641,3,,,,,POINT (16.2872641 48.1986811)
48.2096909,16.3053768,3,,,,,POINT (16.3053768 48.2096909)
48.2095171,16.3064502,4,,,,,POINT (16.3064502 48.2095171)
48.2107098,16.3068608,4,,,,,POINT (16.3068608 48.2107098)
48.2103646,16.3091806,4,,,,,POINT (16.3091806 48.2103646)
48.2102007,16.3102401,3,traffic_signals,,,,POINT (16.3102401 48.2102007)
